注文ID,注文日,顧客ID,顧客タイプ,商品カテゴリ,商品名,単価,数量,売上金額,都道府県,支払方法
K001653,2024-03-26,C0064,法人,OA用品,トナーカートリッジ,2410,5,12050,愛知,クレジットカード
K002708,2024-03-26,C0288,個人,文具,クリアファイル（20枚）,690,3,2070,福岡,クレジットカード
K002941,2024-03-26,C0031,個人,文具,クリアファイル（20枚）,349,21,7329,埼玉,代金引換
K003066,2024-03-27,C0273,個人,生活用品,ウェットティッシュ,1283,2,2566,東京,代金引換
K000936,2024-03-27,C0092,法人,文具,付箋セット,359,32,11488,東京,銀行振込
K003362,2024-03-27,C0191,個人,オフィス家具,オフィスチェア,13209,2,26418,東京,クレジットカード
K000062,2024-03-27,C0139,法人,生活用品,紙コップ（100個）,853,7,5971,東京,銀行振込
K001413,2024-03-27,C0274,法人,オフィス家具,デスクトップワゴン,4753,10,47530,愛知,請求書払い
K003368,2024-03-27,C0206,法人,OA用品,コピー用紙（A4・500枚）,1180,7,8260,神奈川,クレジットカード
K002618,2024-03-27,C0177,個人,オフィス家具,デスクトップワゴン,3689,2,7378,神奈川,クレジットカード
K003755,2024-03-27,C0235,個人,OA用品,トナーカートリッジ,3062,4,12248,東京,クレジットカード
K001937,2024-03-27,C0056,個人,生活用品,紙コップ（100個）,918,2,1836,東京,クレジットカード
K000927,2024-03-27,C0114,法人,オフィス家具,パーテーション,5957,3,17871,神奈川,請求書払い
K004131,2024-03-27,C0164,法人,文具,ボールペン（10本）,2152,6,12912,大阪,請求書払い
K002681,2024-03-27,C0157,法人,文具,ボールペン（10本）,109,22,2398,東京,請求書払い
K003074,2024-03-27,C0006,個人,OA用品,LANケーブル（5m）,6100,3,18300,福岡,クレジットカード
K003145,2024-03-27,C0178,法人,文具,ノート（A4・5冊）,1587,2,3174,埼玉,クレジットカード
K003347,2024-03-27,C0167,法人,文具,修正テープ,937,16,14992,東京,銀行振込
K003523,2024-03-27,C0263,法人,食品飲料,個包装菓子アソート,484,4,1936,埼玉,請求書払い
K003912,2024-03-27,C0243,個人,文具,ノート（A4・5冊）,795,16,12720,福岡,クレジットカード
K002005,2024-03-27,C0022,個人,OA用品,電卓,1130,1,1130,埼玉,クレジットカード
K001534,2024-03-27,C0139,法人,オフィス家具,オフィスチェア,9387,1,9387,東京,クレジットカード
K004600,2024-03-27,C0141,個人,オフィス家具,デスクトップワゴン,11249,2,22498,東京,クレジットカード
K000310,2024-03-27,C0044,法人,文具,ボールペン（10本）,1292,10,12920,東京,請求書払い
K002451,2024-03-27,C0283,個人,オフィス家具,書庫（スチール）,6531,2,13062,埼玉,クレジットカード
K003975,2024-03-27,C0166,法人,OA用品,USBメモリ32GB,3820,1,3820,愛知,請求書払い
K004681,2024-03-27,C0040,個人,オフィス家具,会議用テーブル,7441,3,22323,東京,クレジットカード
K001220,2024-03-27,C0254,法人,生活用品,ウェットティッシュ,1829,4,7316,東京,請求書払い
K004006,2024-03-27,C0179,法人,生活用品,トイレットペーパー（12ロール）,2260,2,4520,北海道,銀行振込
K004531,2024-03-27,C0240,法人,OA用品,電卓,2262,1,2262,東京,請求書払い
K004032,2024-03-27,,個人,生活用品,ウェットティッシュ,1496,1,1496,福岡,クレジットカード
K003053,2024-03-27,C0080,法人,OA用品,トナーカートリッジ,5755,6,34530,福岡,クレジットカード
K001261,2024-03-27,C0018,個人,生活用品,ウェットティッシュ,1001,2,2002,大阪,クレジットカード
K001973,2024-03-27,C0024,個人,文具,付箋セット,944,3,2832,大阪,クレジットカード
K000872,2024-03-27,C0039,個人,生活用品,紙コップ（100個）,2279,9,20511,北海道,クレジットカード
K000912,2024-03-27,C0185,法人,生活用品,ゴミ袋（90L・50枚）,827,5,4135,神奈川,銀行振込
K000993,2024-03-27,C0299,法人,文具,修正テープ,1441,10,14410,大阪,請求書払い
K002597,2024-03-27,C0198,法人,OA用品,LANケーブル（5m）,3808,1,3808,福岡,請求書払い
K000639,2024-03-27,C0092,法人,生活用品,ハンドソープ詰替,670,4,2680,神奈川,銀行振込
K003121,2024-03-27,C0046,個人,OA用品,電卓,2580,3,7740,東京,クレジットカード
K002286,2024-03-28,C0077,法人,OA用品,LANケーブル（5m）,1198,10,11980,神奈川,請求書払い
K004840,2024-03-28,C0118,法人,文具,ノート（A4・5冊）,526,8,4208,大阪,請求書払い
K000618,2024-03-28,C0239,法人,食品飲料,ミネラルウォーター（24本）,1101,20,22020,福岡,請求書払い
K003973,2024-03-28,C0134,法人,OA用品,LANケーブル（5m）,2022,9,18198,埼玉,銀行振込
K000602,2024-03-28,C0045,個人,生活用品,トイレットペーパー（12ロール）,904,10,9040,福岡,代金引換
K002772,2024-03-28,C0027,法人,オフィス家具,会議用テーブル,8141,2,16282,神奈川,請求書払い
K001597,2024-03-28,C0103,法人,OA用品,LANケーブル（5m）,2075,5,10375,神奈川,請求書払い
K004078,2024-03-28,C0189,法人,文具,ノート（A4・5冊）,1115,20,22300,北海道,銀行振込
K002959,2024-03-28,C0061,法人,文具,クリアファイル（20枚）,886,3,2658,大阪,請求書払い
K000150,2024-03-28,C0279,法人,文具,付箋セット,837,8,6696,北海道,クレジットカード
K001564,2024-03-28,C0065,法人,文具,クリアファイル（20枚）,463,12,5556,大阪,クレジットカード
K003035,2024-03-28,C0128,法人,文具,ボールペン（10本）,746,8,5968,埼玉,請求書払い
K002177,2024-03-28,C0201,個人,OA用品,USBメモリ32GB,5980,1,5980,愛知,クレジットカード
K003036,2024-03-28,C0110,法人,生活用品,トイレットペーパー（12ロール）,1405,4,5620,大阪,銀行振込
K002109,2024-03-28,C0105,個人,OA用品,LANケーブル（5m）,3378,3,10134,東京,クレジットカード
K002526,2024-03-28,C0062,法人,OA用品,LANケーブル（5m）,1295,1,1295,東京,クレジットカード
K003531,2024-03-28,C0008,個人,食品飲料,ミネラルウォーター（24本）,1064,5,5320,神奈川,クレジットカード
K001228,2024-03-28,C0292,法人,オフィス家具,パーテーション,16674,2,33348,神奈川,銀行振込
K002376,2024-03-28,C0083,個人,文具,クリアファイル（20枚）,692,3,2076,愛知,請求書払い
K003557,2024-03-28,C0279,法人,オフィス家具,会議用テーブル,6727,1,6727,大阪,クレジットカード
K002481,2024-03-28,C0017,法人,オフィス家具,書庫（スチール）,14371,3,43113,神奈川,クレジットカード
K003604,2024-03-28,C0193,個人,文具,ボールペン（10本）,746,9,6714,神奈川,クレジットカード
K000941,2024-03-28,C0098,法人,食品飲料,ミネラルウォーター（24本）,511,47,24017,埼玉,クレジットカード
K001209,2024-03-28,C0104,法人,文具,ボールペン（10本）,368,3,1104,愛知,銀行振込
K001359,2024-03-28,C0118,法人,OA用品,トナーカートリッジ,1492,15,22380,東京,請求書払い
K003483,2024-03-28,C0182,個人,OA用品,コピー用紙（A4・500枚）,4275,6,25650,埼玉,クレジットカード
K002317,2024-03-28,C0063,個人,OA用品,コピー用紙（A4・500枚）,1132,4,4528,福岡,クレジットカード
K002608,2024-03-28,C0196,法人,文具,付箋セット,637,12,7644,福岡,クレジットカード
K000493,2024-03-28,C0135,個人,文具,付箋セット,331,3,993,大阪,代金引換
K004311,2024-03-28,C0132,法人,生活用品,トイレットペーパー（12ロール）,714,10,7140,東京,請求書払い
K003461,2024-03-28,C0081,法人,オフィス家具,デスクトップワゴン,26096,1,26096,北海道,請求書払い
K003708,2024-03-28,C0125,法人,文具,付箋セット,1825,3,5475,北海道,銀行振込
K000528,2024-03-28,C0004,法人,食品飲料,ドリップコーヒー（50杯）,314,9,2826,北海道,銀行振込
K000670,2024-03-29,C0039,個人,食品飲料,ミネラルウォーター（24本）,392,2,784,埼玉,クレジットカード
K000688,2024-03-29,C0051,法人,オフィス家具,パーテーション,4585,1,4585,埼玉,請求書払い
K002862,2024-03-29,C0164,法人,文具,ボールペン（10本）,638,8,5104,愛知,請求書払い
K000387,2024-03-29,C0193,個人,OA用品,電卓,3135,3,9405,東京,クレジットカード
K004821,2024-03-29,C0080,法人,オフィス家具,デスクトップワゴン,10325,2,20650,東京,銀行振込
K004198,2024-03-29,C0049,個人,OA用品,LANケーブル（5m）,2280,1,2280,埼玉,代金引換
K000237,2024-03-29,C0056,個人,OA用品,コピー用紙（A4・500枚）,1802,8,14416,大阪,代金引換
K004436,2024-03-29,C0130,法人,オフィス家具,パーテーション,12775,8,102200,愛知,請求書払い
K002869,2024-03-29,C0045,個人,OA用品,トナーカートリッジ,3412,3,10236,大阪,代金引換
K004544,2024-03-29,C0216,法人,文具,修正テープ,1075,6,6450,福岡,請求書払い
K001527,2024-03-29,C0084,法人,食品飲料,ミネラルウォーター（24本）,903,4,3612,東京,請求書払い
K000657,2024-03-29,C0064,法人,文具,修正テープ,700,3,2100,大阪,クレジットカード
K000065,2024-03-29,C0010,法人,オフィス家具,書庫（スチール）,2618,2,5236,東京,請求書払い
K002568,2024-03-29,C0187,個人,文具,ノート（A4・5冊）,454,12,5448,大阪,クレジットカード
K002218,2024-03-29,,法人,文具,修正テープ,561,3,1683,東京,クレジットカード
K002292,2024-03-29,C0058,法人,文具,クリアファイル（20枚）,733,10,7330,東京,請求書払い
K002898,2024-03-29,C0059,法人,OA用品,LANケーブル（5m）,2505,3,7515,埼玉,請求書払い
K000380,2024-03-29,C0120,個人,オフィス家具,デスクトップワゴン,3500,1,3500,大阪,代金引換
K003709,2024-03-29,C0234,個人,生活用品,紙コップ（100個）,1490,5,7450,大阪,クレジットカード
K002000,2024-03-29,C0106,個人,文具,付箋セット,2824,2,5648,埼玉,代金引換
K003676,2024-03-29,C0014,法人,OA用品,LANケーブル（5m）,2862,1,2862,埼玉,請求書払い
K002599,2024-03-29,C0200,法人,文具,修正テープ,682,22,15004,愛知,クレジットカード
K000488,2024-03-29,C0166,法人,生活用品,紙コップ（100個）,1117,7,7819,東京,クレジットカード
K002207,2024-03-29,C0144,個人,OA用品,電卓,3902,4,15608,北海道,代金引換
K004331,2024-03-29,C0132,法人,OA用品,電卓,828,3,2484,神奈川,銀行振込
K000324,2024-03-29,C0019,個人,生活用品,ハンドソープ詰替,2752,4,11008,福岡,クレジットカード
K000145,2024-03-29,C0089,個人,オフィス家具,デスクトップワゴン,8596,1,8596,神奈川,クレジットカード
K003501,2024-03-30,C0190,法人,文具,付箋セット,1159,10,11590,東京,請求書払い
K004506,2024-03-30,C0232,法人,文具,付箋セット,265,8,2120,愛知,請求書払い
K001070,2024-03-30,C0273,個人,食品飲料,ミネラルウォーター（24本）,1082,7,7574,埼玉,クレジットカード
K002676,2024-03-30,C0167,法人,文具,修正テープ,2110,2,4220,埼玉,請求書払い
K001851,2024-03-30,C0046,個人,オフィス家具,パーテーション,20006,3,60018,大阪,クレジットカード
K000289,2024-03-30,C0049,個人,食品飲料,個包装菓子アソート,286,14,4004,福岡,クレジットカード
K002095,2024-03-30,C0230,法人,文具,クリアファイル（20枚）,944,6,5664,埼玉,請求書払い
K001170,2024-03-30,C0216,法人,オフィス家具,会議用テーブル,5978,1,5978,東京,銀行振込
K004562,2024-03-30,C0274,法人,食品飲料,ミネラルウォーター（24本）,376,43,16168,福岡,請求書払い
K002491,2024-03-30,C0204,法人,文具,クリアファイル（20枚）,1068,2,2136,大阪,銀行振込
K003054,2024-03-30,C0192,個人,文具,クリアファイル（20枚）,809,9,7281,大阪,クレジットカード
K003012,2024-03-30,C0167,法人,文具,ノート（A4・5冊）,375,10,3750,大阪,請求書払い
K000467,2024-03-30,C0072,法人,文具,ノート（A4・5冊）,1424,2,2848,東京,銀行振込
K003021,2024-03-30,C0233,法人,文具,付箋セット,557,2,1114,北海道,クレジットカード
K003608,2024-03-30,C0025,法人,生活用品,紙コップ（100個）,2790,2,5580,大阪,請求書払い
K000111,2024-03-31,C0025,法人,生活用品,ウェットティッシュ,2248,5,11240,神奈川,請求書払い
K000965,2024-03-31,C0231,法人,文具,ボールペン（10本）,2216,10,22160,大阪,請求書払い
K002425,2024-03-31,C0089,個人,文具,ボールペン（10本）,424,3,1272,埼玉,クレジットカード
K002434,2024-03-31,C0279,法人,OA用品,トナーカートリッジ,3900,1,3900,神奈川,請求書払い
K002999,2024-03-31,C0016,法人,文具,ノート（A4・5冊）,950,12,11400,大阪,銀行振込
K003764,2024-03-31,C0010,法人,文具,修正テープ,492,6,2952,福岡,クレジットカード
K004042,2024-03-31,C0131,法人,文具,クリアファイル（20枚）,1168,10,11680,北海道,クレジットカード
K004503,2024-03-31,C0093,個人,OA用品,LANケーブル（5m）,2945,2,5890,福岡,クレジットカード
K000697,2024-03-31,C0010,法人,文具,付箋セット,487,8,3896,神奈川,請求書払い
K002834,2024-03-31,C0087,法人,文具,ノート（A4・5冊）,226,15,3390,東京,クレジットカード
K003182,2024-03-31,C0077,法人,文具,ボールペン（10本）,860,16,13760,東京,請求書払い
K004822,2024-03-31,C0016,法人,文具,修正テープ,536,15,8040,大阪,銀行振込
K002209,2024-04-01,C0156,法人,生活用品,ウェットティッシュ,824,2,1648,東京,クレジットカード
K003639,2024-04-01,C0041,個人,文具,付箋セット,608,9,5472,神奈川,クレジットカード
K004963,2024-04-01,C0047,法人,OA用品,電卓,1878,3,5634,大阪,請求書払い
K001270,2024-04-01,C0084,法人,生活用品,トイレットペーパー（12ロール）,1048,7,7336,福岡,クレジットカード
K000023,2024-04-01,C0154,法人,OA用品,LANケーブル（5m）,1205,5,6025,東京,銀行振込
K001830,2024-04-01,C0206,法人,OA用品,トナーカートリッジ,1220,6,7320,東京,請求書払い
K003160,2024-04-01,C0069,個人,生活用品,トイレットペーパー（12ロール）,773,3,2319,東京,クレジットカード
K000020,2024-04-01,C0271,個人,文具,クリアファイル（20枚）,189,8,1512,東京,クレジットカード
K004784,2024-04-01,C0019,個人,OA用品,USBメモリ32GB,2115,1,2115,北海道,クレジットカード
K002756,2024-04-01,C0280,法人,文具,修正テープ,878,39,34242,東京,銀行振込
K000270,2024-04-02,C0116,個人,生活用品,紙コップ（100個）,1604,8,12832,東京,クレジットカード
K002304,2024-04-02,C0144,個人,OA用品,USBメモリ32GB,3940,15,59100,埼玉,クレジットカード
K002363,2024-04-02,C0270,個人,OA用品,USBメモリ32GB,1880,1,1880,東京,請求書払い
K002566,2024-04-02,C0123,個人,OA用品,トナーカートリッジ,3710,1,3710,大阪,クレジットカード
K002666,2024-04-02,C0002,法人,文具,ボールペン（10本）,859,3,2577,東京,銀行振込
K001817,2024-04-02,C0286,法人,文具,ボールペン（10本）,725,8,5800,東京,銀行振込
K000417,2024-04-02,C0017,法人,食品飲料,ドリップコーヒー（50杯）,885,4,3540,東京,銀行振込
K000251,2024-04-02,C0004,法人,オフィス家具,会議用テーブル,6818,2,13636,福岡,銀行振込
K002533,2024-04-02,C0234,個人,オフィス家具,会議用テーブル,2898,2,5796,愛知,クレジットカード
K004121,2024-04-02,C0029,法人,文具,ノート（A4・5冊）,7859,15,117885,東京,請求書払い
K002710,2024-04-02,C0064,法人,OA用品,LANケーブル（5m）,7750,1,7750,東京,クレジットカード
K004061,2024-04-02,C0011,法人,OA用品,LANケーブル（5m）,1635,3,4905,東京,銀行振込
K000897,2024-04-02,C0140,法人,文具,クリアファイル（20枚）,1306,12,15672,愛知,請求書払い
K000917,2024-04-02,C0170,法人,オフィス家具,書庫（スチール）,5747,1,5747,東京,請求書払い
K001071,2024-04-03,C0247,法人,文具,クリアファイル（20枚）,347,27,9369,福岡,請求書払い
K002229,2024-04-03,C0253,法人,生活用品,ウェットティッシュ,3148,2,6296,東京,銀行振込
K004129,2024-04-03,C0200,法人,生活用品,紙コップ（100個）,779,4,3116,大阪,銀行振込
K000968,2024-04-03,C0130,法人,OA用品,LANケーブル（5m）,4025,3,12075,大阪,銀行振込
K004105,2024-04-03,C0270,個人,文具,クリアファイル（20枚）,604,2,1208,北海道,クレジットカード
K004397,2024-04-03,C0060,個人,オフィス家具,デスクトップワゴン,4263,1,4263,北海道,クレジットカード
K003801,2024-04-03,C0298,個人,文具,付箋セット,530,4,2120,大阪,クレジットカード
K001022,2024-04-03,C0026,法人,OA用品,USBメモリ32GB,2938,6,17628,福岡,銀行振込
K002641,2024-04-03,C0249,個人,文具,クリアファイル（20枚）,1232,3,3696,大阪,クレジットカード
K003061,2024-04-03,C0149,法人,文具,クリアファイル（20枚）,511,6,3066,東京,クレジットカード
K004296,2024-04-03,C0278,個人,OA用品,トナーカートリッジ,5015,5,25075,愛知,代金引換
K004794,2024-04-03,C0264,個人,食品飲料,緑茶ペット（24本）,326,27,8802,東京,クレジットカード
K004684,2024-04-03,C0086,個人,文具,ノート（A4・5冊）,922,3,2766,神奈川,クレジットカード
K004019,2024-04-03,C0191,個人,文具,クリアファイル（20枚）,804,2,1608,東京,クレジットカード
K002943,2024-04-03,C0046,個人,生活用品,トイレットペーパー（12ロール）,1094,3,3282,東京,クレジットカード
K004898,2024-04-03,C0171,個人,食品飲料,個包装菓子アソート,538,18,9684,愛知,請求書払い
K004795,2024-04-03,C0149,法人,OA用品,USBメモリ32GB,2600,3,7800,大阪,請求書払い
K001879,2024-04-03,C0156,法人,OA用品,USBメモリ32GB,8992,4,35968,東京,請求書払い
K001804,2024-04-03,C0203,法人,文具,ノート（A4・5冊）,437,3,1311,愛知,銀行振込
K002227,2024-04-04,C0045,個人,文具,クリアファイル（20枚）,729,22,16038,福岡,クレジットカード
K003766,2024-04-04,C0273,個人,食品飲料,ミネラルウォーター（24本）,542,14,7588,神奈川,クレジットカード
K001189,2024-04-04,C0255,法人,文具,ボールペン（10本）,503,6,3018,北海道,請求書払い
K003534,2024-04-04,C0191,個人,文具,付箋セット,1136,10,11360,大阪,請求書払い
K004875,2024-04-04,C0300,法人,生活用品,ゴミ袋（90L・50枚）,725,11,7975,神奈川,請求書払い
K002230,2024-04-04,C0169,法人,食品飲料,個包装菓子アソート,542,13,7046,東京,銀行振込
K002716,2024-04-04,C0239,法人,生活用品,ウェットティッシュ,2045,2,4090,北海道,請求書払い
K001975,2024-04-04,C0280,法人,オフィス家具,会議用テーブル,11893,1,11893,東京,クレジットカード
K002523,2024-04-04,C0016,法人,文具,修正テープ,1403,3,4209,大阪,銀行振込
K003163,2024-04-04,C0030,個人,文具,クリアファイル（20枚）,378,3,1134,東京,クレジットカード
K002558,2024-04-04,C0271,個人,文具,付箋セット,627,3,1881,愛知,代金引換
K000144,2024-04-04,C0296,個人,生活用品,ゴミ袋（90L・50枚）,636,6,3816,愛知,クレジットカード
K002920,2024-04-05,C0122,法人,オフィス家具,会議用テーブル,7504,2,15008,東京,請求書払い
K001652,2024-04-05,C0136,法人,オフィス家具,パーテーション,11865,1,11865,神奈川,銀行振込
K002910,2024-04-05,C0176,法人,OA用品,電卓,2262,1,2262,北海道,クレジットカード
K003549,2024-04-05,C0212,法人,食品飲料,ドリップコーヒー（50杯）,759,20,15180,東京,請求書払い
K003836,2024-04-05,C0293,個人,文具,ノート（A4・5冊）,665,3,1995,東京,クレジットカード
K000742,2024-04-05,C0093,個人,生活用品,ハンドソープ詰替,1000,1,1000,北海道,請求書払い
K002184,2024-04-05,C0090,法人,文具,付箋セット,332,51,16932,埼玉,クレジットカード
K004619,2024-04-05,C0161,法人,文具,修正テープ,1447,3,4341,北海道,銀行振込
K002726,2024-04-05,C0065,法人,オフィス家具,会議用テーブル,6727,1,6727,大阪,請求書払い
K004582,2024-04-05,C0250,個人,食品飲料,ミネラルウォーター（24本）,1198,4,4792,福岡,クレジットカード
K001723,2024-04-05,C0113,法人,文具,ボールペン（10本）,440,10,4400,北海道,請求書払い
K002446,2024-04-05,C0221,個人,生活用品,紙コップ（100個）,3624,4,14496,神奈川,クレジットカード
K001676,2024-04-06,C0122,法人,生活用品,紙コップ（100個）,2612,10,26120,東京,請求書払い
K002909,2024-04-06,C0219,個人,OA用品,電卓,7350,8,58800,神奈川,クレジットカード
K000017,2024-04-06,C0181,個人,OA用品,電卓,4060,6,24360,大阪,クレジットカード
K002216,2024-04-06,C0112,法人,文具,ボールペン（10本）,742,12,8904,埼玉,銀行振込
K000037,2024-04-06,C0169,法人,食品飲料,緑茶ペット（24本）,866,20,17320,東京,請求書払い
K001658,2024-04-07,C0016,法人,オフィス家具,デスクトップワゴン,17080,1,17080,福岡,請求書払い
K004180,2024-04-07,C0092,法人,オフィス家具,会議用テーブル,3283,2,6566,大阪,請求書払い
K001911,2024-04-07,C0036,個人,文具,クリアファイル（20枚）,1760,10,17600,東京,クレジットカード
K002181,2024-04-07,C0247,法人,OA用品,LANケーブル（5m）,5048,1,5048,福岡,銀行振込
K003967,2024-04-08,C0157,法人,OA用品,電卓,2095,6,12570,北海道,銀行振込
K003561,2024-04-08,C0287,法人,生活用品,ハンドソープ詰替,1075,8,8600,東京,銀行振込
K003908,2024-04-08,C0257,法人,OA用品,電卓,3038,3,9114,神奈川,銀行振込
K003013,2024-04-08,C0072,法人,OA用品,電卓,1920,1,1920,神奈川,請求書払い
K004904,2024-04-08,C0060,個人,文具,ボールペン（10本）,2554,3,7662,東京,クレジットカード
K003191,2024-04-08,C0030,個人,食品飲料,ミネラルウォーター（24本）,386,16,6176,大阪,クレジットカード
K004534,2024-04-08,C0070,法人,OA用品,USBメモリ32GB,5792,4,23168,東京,銀行振込
K003935,2024-04-08,C0069,個人,文具,修正テープ,542,8,4336,東京,請求書払い
K001528,2024-04-08,C0242,個人,文具,クリアファイル（20枚）,1495,4,5980,東京,請求書払い
K001437,2024-04-08,C0175,個人,文具,クリアファイル（20枚）,1078,8,8624,神奈川,クレジットカード
K004778,2024-04-08,C0112,法人,OA用品,コピー用紙（A4・500枚）,1668,1,1668,大阪,クレジットカード
K002377,2024-04-08,C0057,法人,文具,ノート（A4・5冊）,902,2,1804,愛知,クレジットカード
K004221,2024-04-08,C0041,個人,文具,クリアファイル（20枚）,1421,3,4263,大阪,クレジットカード
K001731,2024-04-08,C0177,個人,オフィス家具,書庫（スチール）,9100,2,18200,東京,クレジットカード
K000503,2024-04-09,C0108,個人,OA用品,USBメモリ32GB,3982,1,3982,福岡,代金引換
K000085,2024-04-09,C0086,個人,生活用品,ウェットティッシュ,1102,3,3306,東京,クレジットカード
K001263,2024-04-09,C0189,法人,OA用品,電卓,5880,13,76440,大阪,銀行振込
K002998,2024-04-09,C0179,法人,オフィス家具,パーテーション,4578,1,4578,北海道,請求書払い
K000047,2024-04-09,C0214,個人,文具,ボールペン（10本）,955,3,2865,福岡,請求書払い
K002324,2024-04-09,C0092,法人,OA用品,コピー用紙（A4・500枚）,1412,4,5648,福岡,銀行振込
K003183,2024-04-09,C0257,法人,文具,ノート（A4・5冊）,471,20,9420,福岡,クレジットカード
K002404,2024-04-09,C0300,法人,食品飲料,ドリップコーヒー（50杯）,522,31,16182,愛知,請求書払い
K001531,2024-04-09,C0190,法人,オフィス家具,デスクトップワゴン,3661,1,3661,大阪,銀行振込
K004829,2024-04-09,C0165,個人,OA用品,USBメモリ32GB,848,8,6784,東京,クレジットカード
K000762,2024-04-09,C0216,法人,OA用品,LANケーブル（5m）,3685,1,3685,神奈川,請求書払い
K004576,2024-04-10,C0119,法人,OA用品,LANケーブル（5m）,3470,1,3470,東京,銀行振込
K002144,2024-04-10,C0293,個人,文具,ノート（A4・5冊）,1189,3,3567,東京,代金引換
K004865,2024-04-10,C0065,法人,食品飲料,ドリップコーヒー（50杯）,113,14,1582,北海道,請求書払い
K004642,2024-04-10,C0254,法人,文具,クリアファイル（20枚）,722,3,2166,福岡,銀行振込
K003753,2024-04-10,C0192,個人,OA用品,USBメモリ32GB,2125,8,17000,愛知,請求書払い
K004594,2024-04-10,C0250,個人,OA用品,コピー用紙（A4・500枚）,4865,3,14595,愛知,クレジットカード
K002620,2024-04-10,C0286,法人,文具,修正テープ,686,15,10290,愛知,請求書払い
K000103,2024-04-10,C0298,個人,OA用品,USBメモリ32GB,1998,3,5994,埼玉,クレジットカード
K001703,2024-04-10,C0179,法人,OA用品,トナーカートリッジ,5482,6,32892,北海道,請求書払い
K003073,2024-04-10,C0204,法人,文具,修正テープ,425,26,11050,東京,請求書払い
K003716,2024-04-10,C0089,個人,OA用品,電卓,3075,2,6150,東京,クレジットカード
K004632,2024-04-10,C0140,法人,OA用品,USBメモリ32GB,4282,1,4282,東京,請求書払い
K002698,2024-04-10,C0118,法人,生活用品,紙コップ（100個）,1337,4,5348,埼玉,請求書払い
K002429,2024-04-10,C0257,法人,OA用品,電卓,3055,4,12220,埼玉,請求書払い
K003571,2024-04-10,C0200,法人,OA用品,トナーカートリッジ,2540,1,2540,東京,銀行振込
K003349,2024-04-10,C0054,法人,食品飲料,緑茶ペット（24本）,1106,7,7742,東京,請求書払い
K003417,2024-04-10,C0244,法人,OA用品,コピー用紙（A4・500枚）,5195,4,20780,埼玉,請求書払い
K004425,2024-04-11,C0284,法人,OA用品,電卓,1772,10,17720,北海道,請求書払い
K004616,2024-04-11,C0009,法人,OA用品,LANケーブル（5m）,3402,3,10206,大阪,請求書払い
K001421,2024-04-11,C0093,個人,OA用品,USBメモリ32GB,1160,1,1160,東京,請求書払い
K000254,2024-04-11,C0215,法人,文具,修正テープ,504,3,1512,大阪,銀行振込
K001776,2024-04-11,C0228,個人,文具,クリアファイル（20枚）,515,8,4120,東京,代金引換
K004184,2024-04-11,C0076,個人,食品飲料,個包装菓子アソート,606,2,1212,神奈川,請求書払い
K002615,2024-04-11,C0056,個人,文具,付箋セット,319,4,1276,神奈川,代金引換
K002259,2024-04-11,C0053,法人,文具,付箋セット,1655,15,24825,東京,銀行振込
K001040,2024-04-11,C0106,個人,文具,ノート（A4・5冊）,422,9,3798,東京,クレジットカード
K004236,2024-04-11,C0131,法人,オフィス家具,オフィスチェア,10409,2,20818,埼玉,銀行振込
K004891,2024-04-11,C0017,法人,文具,ノート（A4・5冊）,1202,21,25242,福岡,銀行振込
K002106,2024-04-11,C0271,個人,生活用品,ウェットティッシュ,2413,5,12065,北海道,クレジットカード
K002670,2024-04-11,C0114,法人,OA用品,トナーカートリッジ,2628,9,23652,東京,請求書払い
K004169,2024-04-11,C0008,個人,文具,修正テープ,556,6,3336,埼玉,代金引換
K001029,2024-04-12,C0169,法人,OA用品,トナーカートリッジ,4822,10,48220,大阪,請求書払い
K001043,2024-04-12,C0282,個人,オフィス家具,オフィスチェア,2814,1,2814,東京,クレジットカード
K002604,2024-04-12,C0182,個人,文具,クリアファイル（20枚）,498,4,1992,埼玉,クレジットカード
K000376,2024-04-12,C0182,個人,オフィス家具,書庫（スチール）,14518,1,14518,東京,代金引換
K002385,2024-04-12,C0041,個人,OA用品,USBメモリ32GB,2268,2,4536,大阪,クレジットカード
K000123,2024-04-12,C0018,個人,生活用品,ハンドソープ詰替,1267,4,5068,東京,代金引換
K000411,2024-04-12,C0283,個人,食品飲料,ドリップコーヒー（50杯）,1566,11,17226,福岡,クレジットカード
K003703,2024-04-12,C0265,法人,文具,修正テープ,715,3,2145,東京,請求書払い
K004796,2024-04-13,C0278,個人,OA用品,トナーカートリッジ,915,3,2745,埼玉,請求書払い
K004716,2024-04-13,C0289,法人,食品飲料,個包装菓子アソート,736,36,26496,神奈川,請求書払い
K000405,2024-04-13,C0118,法人,文具,クリアファイル（20枚）,402,12,4824,大阪,銀行振込
K000167,2024-04-13,C0250,個人,文具,修正テープ,332,9,2988,神奈川,代金引換
K002825,2024-04-14,C0205,個人,OA用品,USBメモリ32GB,9110,1,9110,神奈川,クレジットカード
K003304,2024-04-14,C0138,法人,文具,付箋セット,323,12,3876,東京,請求書払い
K002573,2024-04-14,C0013,個人,生活用品,ハンドソープ詰替,1391,9,12519,大阪,クレジットカード
K000642,2024-04-14,C0148,個人,OA用品,トナーカートリッジ,2595,4,10380,大阪,代金引換
K000691,2024-04-15,C0069,個人,文具,ボールペン（10本）,945,4,3780,北海道,クレジットカード
